,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
142,Nassau County (West Central)--North Hempstead Town (South) PUMA,34204,18343,8465,9878,14749,7464,7285,1112,673,439
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,48397,19671,9175,10496,26834,13522,13312,1892,1011,881
144,Nassau County (Central)--Hempstead Town (East Central) PUMA,49180,26705,11687,15018,21585,11990,9595,890,511,379
145,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",27629,4165,1325,2840,16265,6742,9523,7199,3517,3682
146,Capital Region,528989,178850,81640,97210,316201,159800,156401,33938,20950,12988
147,Central NY,381173,116095,53119,62976,233994,118092,115902,31084,18245,12839
148,Finger Lakes,590471,190471,87490,102981,353950,177744,176206,46050,26625,19425
149,Long Island,1124248,502309,229942,272367,579558,298999,280559,42381,24530,17851
150,Mid-Hudson,904757,392550,177726,214824,458570,238687,219883,53637,30627,23010
151,Mohawk Valley,236078,54531,23694,30837,158915,82043,76872,22632,13492,9140
152,New York City,2471297,1152121,527899,624222,1078166,540453,537713,241010,125397,115613
153,North Country,211733,45306,19953,25353,145758,78951,66807,20669,13583,7086
154,Southern Tier,304966,85094,38467,46627,195192,99553,95639,24680,14269,10411
155,Western NY,684781,205973,93482,112491,432263,218210,214053,46545,25103,21442
