,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,34431,18039,16392,32564,16657,15907,1867,1382,485,10763,5766,4997,10763,5766,4997,0,0,0,21557,10418,11139,20199,9545,10654,1358,873,485,2111,1855,256,1602,1346,256,509,509,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",948,484,464,948,484,464,0,0,0,322,234,88,322,234,88,0,0,0,418,239,179,418,239,179,0,0,0,208,11,197,208,11,197,0,0,0
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",57,0,57,57,0,57,0,0,0,0,0,0,0,0,0,0,0,0,57,0,57,57,0,57,0,0,0,0,0,0,0,0,0,0,0,0
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",9957,4273,5684,9561,4273,5288,396,0,396,7595,2702,4893,7199,2702,4497,396,0,396,2165,1464,701,2165,1464,701,0,0,0,197,107,90,197,107,90,0,0,0
70,Erie County (Northeast) PUMA,48812,25962,22850,46771,24917,21854,2041,1045,996,22967,10910,12057,22271,10672,11599,696,238,458,25187,14394,10793,23842,13587,10255,1345,807,538,658,658,0,658,658,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,8071,4059,4012,7817,3805,4012,254,254,0,6368,2759,3609,6368,2759,3609,0,0,0,1547,1144,403,1293,890,403,254,254,0,156,156,0,156,156,0,0,0,0
72,Orange County (Southeast) PUMA,33497,18077,15420,32586,17558,15028,911,519,392,15424,7145,8279,15205,6978,8227,219,167,52,16307,9309,6998,15615,8957,6658,692,352,340,1766,1623,143,1766,1623,143,0,0,0
73,Westchester County (Southeast) PUMA,24287,13708,10579,23484,13334,10150,803,374,429,19262,10323,8939,18746,10021,8725,516,302,214,4784,3299,1485,4497,3227,1270,287,72,215,241,86,155,241,86,155,0,0,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,34897,17565,17332,34053,16934,17119,844,631,213,27060,12578,14482,26552,12235,14317,508,343,165,7627,4888,2739,7339,4600,2739,288,288,0,210,99,111,162,99,63,48,0,48
75,Livingston & Wyoming Counties PUMA,36929,19696,17233,36142,19174,16968,787,522,265,9131,3876,5255,9056,3876,5180,75,0,75,26310,14986,11324,25785,14622,11163,525,364,161,1488,834,654,1301,676,625,187,158,29
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,32238,16415,15823,30785,15615,15170,1453,800,653,12654,5969,6685,12282,5780,6502,372,189,183,19147,10321,8826,18123,9710,8413,1024,611,413,437,125,312,380,125,255,57,0,57
77,Westchester County (Southwest)--Yonkers City PUMA,22681,11564,11117,22171,11498,10673,510,66,444,12437,6341,6096,12123,6341,5782,314,0,314,9401,4806,4595,9271,4806,4465,130,0,130,843,417,426,777,351,426,66,66,0
78,Erie County (North Central) PUMA,36247,18507,17740,35688,17948,17740,559,559,0,24845,11694,13151,24658,11507,13151,187,187,0,11043,6570,4473,10671,6198,4473,372,372,0,359,243,116,359,243,116,0,0,0
79,Saratoga County (South & Central) PUMA,41369,21579,19790,40603,21264,19339,766,315,451,22989,11499,11490,22661,11439,11222,328,60,268,17469,9452,8017,17031,9197,7834,438,255,183,911,628,283,911,628,283,0,0,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,35364,19520,15844,34296,19010,15286,1068,510,558,12587,5993,6594,12120,5754,6366,467,239,228,21429,12430,8999,20958,12159,8799,471,271,200,1348,1097,251,1218,1097,121,130,0,130
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",42179,22496,19683,41244,22072,19172,935,424,511,19581,9452,10129,18998,9092,9906,583,360,223,21944,12669,9275,21592,12605,8987,352,64,288,654,375,279,654,375,279,0,0,0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,43016,22839,20177,42178,22156,20022,838,683,155,10836,4543,6293,10728,4435,6293,108,108,0,29693,16808,12885,29102,16372,12730,591,436,155,2487,1488,999,2348,1349,999,139,139,0
