,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,30634,15344,15290,30208,15049,15159,426,295,131,18214,8876,9338,18003,8721,9282,211,155,56,12035,6265,5770,11895,6125,5770,140,140,0,385,203,182,310,203,107,75,0,75
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,21261,10440,10821,18141,8127,10014,3120,2313,807,5021,2495,2526,4701,2175,2526,320,320,0,13721,6063,7658,11903,5052,6851,1818,1011,807,2519,1882,637,1537,900,637,982,982,0
64,Albany County (East Central)--Albany City PUMA,35300,17805,17495,32678,16524,16154,2622,1281,1341,13841,6871,6970,13736,6871,6865,105,0,105,19253,9790,9463,17120,8818,8302,2133,972,1161,2206,1144,1062,1822,835,987,384,309,75
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,28552,16516,12036,27502,15707,11795,1050,809,241,14953,7990,6963,14390,7622,6768,563,368,195,13089,8253,4836,12602,7812,4790,487,441,46,510,273,237,510,273,237,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,38606,19689,18917,36189,17913,18276,2417,1776,641,12119,4727,7392,11531,4433,7098,588,294,294,24705,13524,11181,23788,12954,10834,917,570,347,1782,1438,344,870,526,344,912,912,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",27236,10492,16744,23279,9285,13994,3957,1207,2750,5003,2009,2994,4865,1871,2994,138,138,0,16944,5902,11042,14612,5291,9321,2332,611,1721,5289,2581,2708,3802,2123,1679,1487,458,1029
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",16192,7446,8746,14587,6794,7793,1605,652,953,4203,1351,2852,4203,1351,2852,0,0,0,9071,4219,4852,7943,3765,4178,1128,454,674,2918,1876,1042,2441,1678,763,477,198,279
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",26213,12704,13509,24120,11561,12559,2093,1143,950,14497,6905,7592,13504,6258,7246,993,647,346,10482,4956,5526,9575,4653,4922,907,303,604,1234,843,391,1041,650,391,193,193,0
70,Erie County (Northeast) PUMA,45855,24095,21760,45416,23751,21665,439,344,95,21117,9758,11359,20995,9636,11359,122,122,0,23737,13336,10401,23420,13114,10306,317,222,95,1001,1001,0,1001,1001,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,32167,14321,17846,28938,13327,15611,3229,994,2235,15409,6553,8856,15409,6553,8856,0,0,0,14121,5960,8161,11530,5398,6132,2591,562,2029,2637,1808,829,1999,1376,623,638,432,206
