,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,50079,25628,24451,41205,21753,19452,8874,3875,4999,15570,7785,7785,13493,6874,6619,2077,911,1166,31850,15962,15888,26143,13624,12519,5707,2338,3369,2659,1881,778,1569,1255,314,1090,626,464
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",54124,26675,27449,42634,22627,20007,11490,4048,7442,32299,14872,17427,26740,12741,13999,5559,2131,3428,18390,10708,7682,14227,8856,5371,4163,1852,2311,3435,1095,2340,1667,1030,637,1768,65,1703
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,12793,5549,7244,11515,5061,6454,1278,488,790,4834,1370,3464,4662,1370,3292,172,0,172,6486,3277,3209,5700,2789,2911,786,488,298,1473,902,571,1153,902,251,320,0,320
61,NYC-Manhattan Community District 10--Central Harlem PUMA,39300,16917,22383,32598,13363,19235,6702,3554,3148,20292,8860,11432,18163,8003,10160,2129,857,1272,16860,6500,10360,13094,4457,8637,3766,2043,1723,2148,1557,591,1341,903,438,807,654,153
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,30750,15190,15560,25787,13893,11894,4963,1297,3666,18393,8862,9531,16152,8596,7556,2241,266,1975,12047,6125,5922,9325,5094,4231,2722,1031,1691,310,203,107,310,203,107,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,19838,8934,10904,17040,8270,8770,2798,664,2134,5021,2495,2526,4387,2219,2168,634,276,358,13091,5436,7655,11013,5048,5965,2078,388,1690,1726,1003,723,1640,1003,637,86,0,86
64,Albany County (East Central)--Albany City PUMA,34745,17733,17012,30101,15866,14235,4644,1867,2777,13898,6871,7027,12759,6683,6076,1139,188,951,18768,9851,8917,15917,8558,7359,2851,1293,1558,2079,1011,1068,1425,625,800,654,386,268
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,28607,16275,12332,23588,13982,9606,5019,2293,2726,14965,7940,7025,12945,7232,5713,2020,708,1312,13132,8062,5070,10458,6565,3893,2674,1497,1177,510,273,237,185,185,0,325,88,237
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,39185,19554,19631,33422,18022,15400,5763,1532,4231,12299,4727,7572,10496,4339,6157,1803,388,1415,25400,13685,11715,21770,12871,8899,3630,814,2816,1486,1142,344,1156,812,344,330,330,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",25079,9632,15447,21134,8803,12331,3945,829,3116,4950,1918,3032,4206,1780,2426,744,138,606,16190,5591,10599,13754,5096,8658,2436,495,1941,3939,2123,1816,3174,1927,1247,765,196,569
