,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
100,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",101,0,101,101,0,101,0,0,0,0,0,0,0,0,0,0,0,0,101,0,101,101,0,101,0,0,0,0,0,0,0,0,0,0,0,0
101,Erie County (South) PUMA,552,483,69,552,483,69,0,0,0,0,0,0,0,0,0,0,0,0,552,483,69,552,483,69,0,0,0,0,0,0,0,0,0,0,0,0
102,Monroe County (Central)--Greece & Gates Towns PUMA,365,259,106,365,259,106,0,0,0,132,132,0,132,132,0,0,0,0,233,127,106,233,127,106,0,0,0,0,0,0,0,0,0,0,0,0
103,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,9112,5213,3899,8723,5028,3695,389,185,204,7919,4454,3465,7919,4454,3465,0,0,0,1193,759,434,804,574,230,389,185,204,0,0,0,0,0,0,0,0,0
104,NYC-Manhattan Community District 11--East Harlem PUMA,1406,906,500,1299,799,500,107,107,0,1147,793,354,1040,686,354,107,107,0,259,113,146,259,113,146,0,0,0,0,0,0,0,0,0,0,0,0
105,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",2805,1737,1068,2805,1737,1068,0,0,0,1275,687,588,1275,687,588,0,0,0,739,259,480,739,259,480,0,0,0,791,791,0,791,791,0,0,0,0
106,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,5417,2488,2929,5326,2488,2838,91,0,91,3235,1101,2134,3144,1101,2043,91,0,91,1579,866,713,1579,866,713,0,0,0,603,521,82,603,521,82,0,0,0
107,Onondaga County (North) PUMA,1221,807,414,1101,807,294,120,0,120,447,401,46,447,401,46,0,0,0,774,406,368,654,406,248,120,0,120,0,0,0,0,0,0,0,0,0
108,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,5607,3031,2576,5329,2854,2475,278,177,101,3492,1762,1730,3277,1585,1692,215,177,38,1442,676,766,1379,676,703,63,0,63,673,593,80,673,593,80,0,0,0
109,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",293,84,209,293,84,209,0,0,0,162,84,78,162,84,78,0,0,0,131,0,131,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0
