,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,26834,16966,9868,52666.76567041813,51117,55329,13307,6931,6376,64173.24340572631,62549,65938,10850,7971,2879,41804.69493087558,43471,37190,2677,2064,613,39494.09787075084,42263,30169
32,Erie County (West Central)--Buffalo City (West) PUMA,2192,1594,598,39649.45255474452,42378,32374,1051,666,385,41060.989533777356,45285,33753,1089,928,161,38031.68044077135,40292,25000,52,0,52,45000.0,0,45000
33,Schenectady County--Schenectady City PUMA,2828,2092,736,57592.07920792079,57976,56499,1334,896,438,74109.14542728636,72296,77816,906,608,298,56230.68432671082,71455,25167,588,588,0,22217.34693877551,22217,0
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,5962,3483,2479,103869.65447836297,109484,95980,3784,1753,2031,143802.14587737844,182645,110275,1967,1730,237,34376.492119979666,35350,27264,211,0,211,35568.72037914692,0,35568
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",68,37,31,38676.470588235294,25000,55000,0,0,0,#DIV/0!,0,0,68,37,31,38676.470588235294,25000,55000,0,0,0,#DIV/0!,0,0
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,7864,4674,3190,68056.65946083418,70761,64093,3402,1422,1980,87000.3644914756,106193,73216,3378,2345,1033,61699.171107164,65547,52963,1084,907,177,28415.61808118081,28691,27000
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,4357,3191,1166,46246.19233417489,39457,64825,1449,1176,273,68799.51690821256,47082,162351,1348,547,801,45583.086053412466,59078,36367,1560,1468,92,25870.615384615383,26038,23195
38,Erie County (Northeast) PUMA,512,423,89,113359.1796875,116169,100000,361,272,89,145340.72022160664,160176,100000,151,151,0,36900.0,36900,0,0,0,0,#DIV/0!,0,0
39,Monroe County (North & West) PUMA,750,231,519,77647.09333333334,71919,80196,324,0,324,98648.14814814815,0,98648,426,231,195,61674.46009389671,71919,49538,0,0,0,#DIV/0!,0,0
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,3533,2006,1527,35085.37220492499,37897,31390,1039,588,451,49589.817131857555,61129,34544,1758,979,779,29366.83731513083,27204,32084,736,439,297,28268.885869565216,30628,24780
