,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",14365,9491,4874,11429,8096,3333,2936,1395,1541,3687,2038,1649,3271,1895,1376,416,143,273,8880,6684,2196,7215,5854,1361,1665,830,835,1798,769,1029,943,347,596,855,422,433
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,4956,3005,1951,4744,3005,1739,212,0,212,2172,1205,967,2052,1205,847,120,0,120,1963,1336,627,1871,1336,535,92,0,92,821,464,357,821,464,357,0,0,0
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,14143,7217,6926,11950,6585,5365,2193,632,1561,6754,3548,3206,6085,3548,2537,669,0,669,6057,2865,3192,4928,2451,2477,1129,414,715,1332,804,528,937,586,351,395,218,177
70,Jefferson & Lewis Counties PUMA,1251,552,699,765,403,362,486,149,337,546,225,321,452,131,321,94,94,0,684,327,357,313,272,41,371,55,316,21,0,21,0,0,0,21,0,21
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,11862,6669,5193,10262,6249,4013,1600,420,1180,5548,2414,3134,4823,2130,2693,725,284,441,4664,3008,1656,4075,3008,1067,589,0,589,1650,1247,403,1364,1111,253,286,136,150
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,13881,7239,6642,12507,7028,5479,1374,211,1163,2713,1250,1463,2604,1141,1463,109,109,0,7898,3257,4641,6813,3155,3658,1085,102,983,3270,2732,538,3090,2732,358,180,0,180
73,Orange County (Northeast)--Greater Newburgh City PUMA,4528,2663,1865,4141,2608,1533,387,55,332,1575,567,1008,1492,567,925,83,0,83,2653,1796,857,2349,1741,608,304,55,249,300,300,0,300,300,0,0,0,0
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",7615,4145,3470,5676,3010,2666,1939,1135,804,2636,925,1711,2476,925,1551,160,0,160,3502,2201,1301,2049,1294,755,1453,907,546,1477,1019,458,1151,791,360,326,228,98
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",15359,9247,6112,12633,8403,4230,2726,844,1882,4488,2758,1730,4059,2758,1301,429,0,429,8150,4626,3524,6541,4143,2398,1609,483,1126,2721,1863,858,2033,1502,531,688,361,327
76,Erie County (Central) PUMA,1516,969,547,810,644,166,706,325,381,368,202,166,245,79,166,123,123,0,1148,767,381,565,565,0,583,202,381,0,0,0,0,0,0,0,0,0
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",15081,8159,6922,13138,7291,5847,1943,868,1075,7115,3063,4052,6215,2727,3488,900,336,564,6287,4053,2234,5341,3521,1820,946,532,414,1679,1043,636,1582,1043,539,97,0,97
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",8803,4343,4460,7195,3422,3773,1608,921,687,3704,1396,2308,3373,1396,1977,331,0,331,4084,2028,2056,3031,1331,1700,1053,697,356,1015,919,96,791,695,96,224,224,0
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",10341,5166,5175,7644,4561,3083,2697,605,2092,4268,1857,2411,3178,1508,1670,1090,349,741,4811,2667,2144,3416,2512,904,1395,155,1240,1262,642,620,1050,541,509,212,101,111
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,17824,8934,8890,16051,8391,7660,1773,543,1230,2237,961,1276,1952,836,1116,285,125,160,12539,6263,6276,11254,5991,5263,1285,272,1013,3048,1710,1338,2845,1564,1281,203,146,57
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,1315,503,812,1136,503,633,179,0,179,951,383,568,928,383,545,23,0,23,274,30,244,118,30,88,156,0,156,90,90,0,90,90,0,0,0,0
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",9108,5227,3881,8663,4842,3821,445,385,60,8093,4406,3687,7708,4021,3687,385,385,0,955,821,134,955,821,134,0,0,0,60,0,60,0,0,0,60,0,60
83,"Chenango, Delaware & Broome (East) Counties PUMA",270,161,109,148,95,53,122,66,56,72,19,53,72,19,53,0,0,0,87,31,56,0,0,0,87,31,56,111,111,0,76,76,0,35,35,0
84,Orange County (Northwest) PUMA,6386,2988,3398,4755,2692,2063,1631,296,1335,1424,688,736,1349,688,661,75,0,75,4898,2300,2598,3342,2004,1338,1556,296,1260,64,0,64,64,0,64,0,0,0
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,10706,4989,5717,8639,4377,4262,2067,612,1455,3904,1452,2452,3611,1393,2218,293,59,234,4005,2118,1887,2973,1717,1256,1032,401,631,2797,1419,1378,2055,1267,788,742,152,590
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,5798,3046,2752,5273,3046,2227,525,0,525,3697,1719,1978,3610,1719,1891,87,0,87,1738,964,774,1300,964,336,438,0,438,363,363,0,363,363,0,0,0,0
87,Dutchess County (North & East) PUMA,2723,1809,914,2189,1678,511,534,131,403,852,309,543,481,178,303,371,131,240,951,661,290,869,661,208,82,0,82,920,839,81,839,839,0,81,0,81
88,Putnam County PUMA,2974,1475,1499,2909,1475,1434,65,0,65,1474,672,802,1409,672,737,65,0,65,1141,478,663,1141,478,663,0,0,0,359,325,34,359,325,34,0,0,0
89,Albany County (Outside Albany City) PUMA,4907,2394,2513,4878,2394,2484,29,0,29,3985,2022,1963,3956,2022,1934,29,0,29,684,187,497,684,187,497,0,0,0,238,185,53,238,185,53,0,0,0
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",4501,2329,2172,3895,2329,1566,606,0,606,1864,1611,253,1729,1611,118,135,0,135,2022,536,1486,1551,536,1015,471,0,471,615,182,433,615,182,433,0,0,0
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,32289,19913,12376,26847,17729,9118,5442,2184,3258,10146,6438,3708,6899,5177,1722,3247,1261,1986,16452,9145,7307,14610,8222,6388,1842,923,919,5691,4330,1361,5338,4330,1008,353,0,353
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",5680,3745,1935,4251,2763,1488,1429,982,447,1975,1248,727,1694,1063,631,281,185,96,2718,1734,984,1816,1135,681,902,599,303,987,763,224,741,565,176,246,198,48
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1113,765,348,1041,765,276,72,0,72,962,614,348,890,614,276,72,0,72,151,151,0,151,151,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,3832,1775,2057,3490,1775,1715,342,0,342,2909,1485,1424,2567,1485,1082,342,0,342,818,185,633,818,185,633,0,0,0,105,105,0,105,105,0,0,0,0
95,Oswego County PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Rensselaer County--Troy City PUMA,1864,1107,757,1692,1063,629,172,44,128,1663,941,722,1491,897,594,172,44,128,166,166,0,166,166,0,0,0,0,35,0,35,35,0,35,0,0,0
97,Saratoga County (Outer) PUMA,761,376,385,522,376,146,239,0,239,439,376,63,376,376,0,63,0,63,322,0,322,146,0,146,176,0,176,0,0,0,0,0,0,0,0,0
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,275,0,275,275,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,275,275,0,275,0,0,0
99,Monroe County (East) PUMA,1353,625,728,1035,625,410,318,0,318,906,496,410,906,496,410,0,0,0,281,129,152,129,129,0,152,0,152,166,0,166,0,0,0,166,0,166
100,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",21944,11676,10268,18398,9954,8444,3546,1722,1824,10343,5318,5025,8648,4554,4094,1695,764,931,10530,5524,5006,8810,4663,4147,1720,861,859,1071,834,237,940,737,203,131,97,34
101,Erie County (South) PUMA,134,134,0,134,134,0,0,0,0,134,134,0,134,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Monroe County (Central)--Greece & Gates Towns PUMA,1198,696,502,1198,696,502,0,0,0,902,454,448,902,454,448,0,0,0,256,202,54,256,202,54,0,0,0,40,40,0,40,40,0,0,0,0
103,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,10076,6026,4050,9114,5507,3607,962,519,443,8333,4506,3827,7661,4166,3495,672,340,332,1216,1104,112,1037,925,112,179,179,0,527,416,111,416,416,0,111,0,111
104,NYC-Manhattan Community District 11--East Harlem PUMA,7617,3737,3880,6684,3183,3501,933,554,379,2666,971,1695,2456,971,1485,210,0,210,3462,1648,1814,2908,1094,1814,554,554,0,1489,1118,371,1320,1118,202,169,0,169
105,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",30809,15142,15667,24160,13325,10835,6649,1817,4832,11748,5000,6748,9272,4003,5269,2476,997,1479,15373,8295,7078,12236,7526,4710,3137,769,2368,3688,1847,1841,2652,1796,856,1036,51,985
106,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,7234,3809,3425,5987,3269,2718,1247,540,707,4361,2180,2181,3574,1828,1746,787,352,435,1961,1219,742,1767,1177,590,194,42,152,912,410,502,646,264,382,266,146,120
107,Onondaga County (North) PUMA,1813,920,893,1554,920,634,259,0,259,613,415,198,566,415,151,47,0,47,647,259,388,557,259,298,90,0,90,553,246,307,431,246,185,122,0,122
108,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,9100,5232,3868,8110,4998,3112,990,234,756,2419,818,1601,2338,818,1520,81,0,81,4982,3627,1355,4073,3393,680,909,234,675,1699,787,912,1699,787,912,0,0,0
