,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
61,Rensselaer County--Troy City PUMA,733,682,51,733,682,51,0,0,0,284,233,51,284,233,51,0,0,0,449,449,0,449,449,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Warren & Washington Counties PUMA,375,219,156,375,219,156,0,0,0,117,117,0,117,117,0,0,0,0,258,102,156,258,102,156,0,0,0,0,0,0,0,0,0,0,0,0
63,Orange County (Northeast)--Greater Newburgh City PUMA,532,360,172,317,145,172,215,215,0,244,145,99,244,145,99,0,0,0,73,0,73,73,0,73,0,0,0,215,215,0,0,0,0,215,215,0
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",445,79,366,445,79,366,0,0,0,179,0,179,179,0,179,0,0,0,187,0,187,187,0,187,0,0,0,79,79,0,79,79,0,0,0,0
65,Fulton & Montgomery Counties PUMA,174,0,174,174,0,174,0,0,0,0,0,0,0,0,0,0,0,0,174,0,174,174,0,174,0,0,0,0,0,0,0,0,0,0,0,0
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,12724,6537,6187,11907,6060,5847,817,477,340,7356,3652,3704,7192,3488,3704,164,164,0,4536,2310,2226,3965,2079,1886,571,231,340,832,575,257,750,493,257,82,82,0
67,Monroe County (Central)--Rochester City (East) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Chautauqua County PUMA,271,203,68,271,203,68,0,0,0,68,0,68,68,0,68,0,0,0,203,203,0,203,203,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Nassau County (Northwest)--North Hempstead Town (North) PUMA,3452,1745,1707,3415,1728,1687,37,17,20,1743,709,1034,1726,692,1034,17,17,0,1651,998,653,1651,998,653,0,0,0,58,38,20,38,38,0,20,0,20
70,"Clinton, Franklin, Essex & Hamilton Counties PUMA",319,107,212,319,107,212,0,0,0,63,38,25,63,38,25,0,0,0,117,24,93,117,24,93,0,0,0,139,45,94,139,45,94,0,0,0
71,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,7186,3920,3266,6582,3802,2780,604,118,486,3821,2210,1611,3217,2092,1125,604,118,486,2948,1400,1548,2948,1400,1548,0,0,0,417,310,107,417,310,107,0,0,0
72,Monroe County (Central)--Rochester City (West) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
