,puma,Unemployment_HSINC_score,FT_Work_HSINC_score,Poverty_HSINC_score,Working_Poor_HSINC_score,Rent_Burden_HSINC_score,Home_Ownership_HSINC_score,Income_level_HSINC_score,Overall_HSINC_score,Unemployment_HSINC_grade,FT_Work_HSINC_grade,Poverty_HSINC_grade,Working_Poor_HSINC_grade,Rent_Burden_HSINC_grade,Home_Ownership_HSINC_grade,Income_level_HSINC_grade,Overall_HSINC_grade
11,Livingston & Wyoming Counties PUMA,0.2568176272056589,-2.6611490838947818,-1.9297846321701044,0.82210829335088,1.0234500485379172,-1.3565581544099174,0.13446363352222127,-0.5300931811225895,B-,E,E,B,B,D-,C,C-
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.2568176272056589,0.8657690317581209,-1.2609152840456195,-2.8695171238939365,-0.5344184722241854,-1.3565581544099174,#DIV/0!,#DIV/0!,B-,B,D-,E,C-,D-,#DIV!0,#DIV!0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,-2.1803412469442534,-1.062101774442944,-0.5526229191315932,0.6187010312049169,1.0234500485379172,0.8653270971494359,-0.3284311352342367,-0.23085984269439397,E,D,C-,B-,B,B,C-,C
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.2568176272056589,-0.042494236587209105,-1.8238038519227748,-1.9243183455655535,-2.366684289256885,-0.9610143974674988,0.008107872030789054,-0.9790556602233532,B-,C,E,E,E,D,C,D
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.2568176272056589,0.030122040900381425,0.04206231606581201,-1.048920435881124,-0.24491429955159313,-0.7474184471719173,0.37859038452040306,-0.19052297341605412,B-,C,C,D,C,C-,B-,C
16,Monroe County (Central)--Rochester City (East) PUMA,0.2568176272056589,0.8657690317581209,-1.7476103579124873,-2.109476596814121,1.0234500485379172,1.1106504277412885,-1.0249671900012556,-0.23219528706926834,B-,B,D-,E,B,B,D,C
17,Westchester County (Northwest) PUMA,0.2568176272056589,0.3551999520196747,0.7970384505166842,0.82210829335088,1.0234500485379172,0.6314965412161999,-0.9309568706737178,0.4221648631676139,B-,B-,B,B,B,B-,D,B-
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.2568176272056589,-1.3020137494522634,-0.2865541230865046,0.82210829335088,-1.2791109916287537,-1.2000324117499102,#DIV/0!,#DIV/0!,B-,D-,C-,B,D-,D,#DIV!0,#DIV!0
19,Onondaga County (Central)--Syracuse City PUMA,0.2568176272056589,-1.561369142977402,-0.9902610523236867,0.82210829335088,-0.7618869695907066,-0.6314749376557414,1.5904441989959741,-0.1822317118564319,B-,D-,D,B,D,C-,A-,C
20,Westchester County (Northeast) PUMA,-0.5259665264056032,-0.8796935840779513,1.0153211423467547,0.3048104641828165,1.0234500485379172,-0.30595496861289084,-0.6959310723548737,-0.009137785197690087,C-,D,B,B-,B,C-,C-,C
21,Madison & Cortland Counties PUMA,0.2568176272056589,0.8657690317581209,1.2467939566918054,0.82210829335088,#DIV/0!,1.5764361187668852,#DIV/0!,#DIV/0!,B-,B,B,B,#DIV!0,A-,#DIV!0,#DIV!0
22,Erie County (West Central)--Buffalo City (West) PUMA,-0.31441705052086844,-0.8640646494313059,-0.6378922624142473,-1.9234415724033715,0.5666398812700812,-0.6214304252538659,#DIV/0!,#DIV/0!,C-,D,C-,E,B-,C-,#DIV!0,#DIV!0
23,Monroe County (Central)--Rochester City (West) PUMA,0.2568176272056589,0.8657690317581209,0.8836993459544711,0.82210829335088,0.2350467141670329,0.28621868913412274,0.551701606469467,0.5573373297199647,B-,B,B,B,C,B-,B-,B-
24,Suffolk County (Central)--Islip Town (East) PUMA,0.2568176272056589,0.8657690317581209,1.0822591968262285,0.82210829335088,#DIV/0!,1.5764361187668852,0.19716696125673402,#DIV/0!,B-,B,B,B,#DIV!0,A-,C,#DIV!0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.2568176272056589,0.8657690317581209,1.2467939566918054,0.82210829335088,#DIV/0!,1.5764361187668852,-0.020225923578290415,#DIV/0!,B-,B,B,B,#DIV!0,A-,C,#DIV!0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",-0.3510431496305575,-0.18759222964036049,-0.3095252679767342,0.006229147558669872,-0.13621240079447341,-1.3352354487698337,#DIV/0!,#DIV/0!,C-,C,C-,C,C,D-,#DIV!0,#DIV!0
27,St. Lawrence County PUMA,0.2568176272056589,-3.0749216002562956,-0.5988159496860641,#DIV/0!,#DIV/0!,1.5764361187668852,-0.0597875441704976,#DIV/0!,B-,E,C-,#DIV!0,#DIV!0,A-,C,#DIV!0
28,Columbia & Greene Counties PUMA,0.2568176272056589,0.8657690317581209,1.2467939566918054,0.82210829335088,#DIV/0!,1.5764361187668852,-0.14748925567430288,#DIV/0!,B-,B,B,B,#DIV!0,A-,C,#DIV!0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.2568176272056589,-2.183574909681606,-1.3834536777409414,0.82210829335088,1.0234500485379172,-1.3565581544099174,-0.960862014554559,-0.5402961124703668,B-,E,D-,B,B,D-,D,C-
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.2568176272056589,0.0820308390685822,-0.281536503464501,0.22720350050219432,-0.7354978287403675,0.038501162105703236,0.08063273927858809,-0.04740692343487739,B-,C,C-,C,C-,C,C,C
