,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,231,0,231,170,0,170,61,0,61,100,0,100,39,0,39,61,0,61,131,0,131,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",23744,13491,10253,20630,12250,8380,3114,1241,1873,3448,1942,1506,2855,1555,1300,593,387,206,15295,7996,7299,13235,7142,6093,2060,854,1206,5001,3553,1448,4540,3553,987,461,0,461
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,664,188,476,664,188,476,0,0,0,0,0,0,0,0,0,0,0,0,298,0,298,298,0,298,0,0,0,366,188,178,366,188,178,0,0,0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,2833,856,1977,1682,762,920,1151,94,1057,700,175,525,606,81,525,94,94,0,990,0,990,395,0,395,595,0,595,1143,681,462,681,681,0,462,0,462
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,3853,2702,1151,3180,2579,601,673,123,550,766,391,375,523,391,132,243,0,243,2332,1742,590,1902,1619,283,430,123,307,755,569,186,755,569,186,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,2031,701,1330,1971,701,1270,60,0,60,356,99,257,356,99,257,0,0,0,1302,289,1013,1302,289,1013,0,0,0,373,313,60,313,313,0,60,0,60
64,Albany County (East Central)--Albany City PUMA,895,287,608,895,287,608,0,0,0,0,0,0,0,0,0,0,0,0,608,0,608,608,0,608,0,0,0,287,287,0,287,287,0,0,0,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,3286,2441,845,2879,2136,743,407,305,102,396,300,96,360,300,60,36,0,36,2199,1450,749,1828,1145,683,371,305,66,691,691,0,691,691,0,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,104,104,0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104,0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",8905,4665,4240,7325,4191,3134,1580,474,1106,1718,558,1160,1682,558,1124,36,0,36,5695,3228,2467,4621,2754,1867,1074,474,600,1492,879,613,1022,879,143,470,0,470
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",8690,4220,4470,6760,3658,3102,1930,562,1368,1714,579,1135,1376,366,1010,338,213,125,4746,2485,2261,3828,2217,1611,918,268,650,2230,1156,1074,1556,1075,481,674,81,593
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",6278,2820,3458,5110,2684,2426,1168,136,1032,1654,579,1075,1411,443,968,243,136,107,3646,1720,1926,3178,1720,1458,468,0,468,978,521,457,521,521,0,457,0,457
70,Erie County (Northeast) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,3823,1713,2110,2817,1713,1104,1006,0,1006,1164,159,1005,1164,159,1005,0,0,0,1844,965,879,1064,965,99,780,0,780,815,589,226,589,589,0,226,0,226
72,Orange County (Southeast) PUMA,1407,837,570,932,400,532,475,437,38,397,50,347,397,50,347,0,0,0,860,637,223,535,350,185,325,287,38,150,150,0,0,0,0,150,150,0
