,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
93,Oswego County PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",2368,1303,1065,2272,1207,1065,96,96,0,230,49,181,230,49,181,0,0,0,1527,760,767,1431,664,767,96,96,0,611,494,117,611,494,117,0,0,0
95,Monroe County (East) PUMA,516,275,241,516,275,241,0,0,0,0,0,0,0,0,0,0,0,0,516,275,241,516,275,241,0,0,0,0,0,0,0,0,0,0,0,0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3419,2208,1211,3419,2208,1211,0,0,0,448,229,219,448,229,219,0,0,0,1949,1167,782,1949,1167,782,0,0,0,1022,812,210,1022,812,210,0,0,0
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",658,513,145,658,513,145,0,0,0,95,0,95,95,0,95,0,0,0,139,139,0,139,139,0,0,0,0,424,374,50,424,374,50,0,0,0
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",1838,1152,686,1838,1152,686,0,0,0,423,125,298,423,125,298,0,0,0,697,309,388,697,309,388,0,0,0,718,718,0,718,718,0,0,0,0
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",3375,1369,2006,3375,1369,2006,0,0,0,1248,0,1248,1248,0,1248,0,0,0,1666,908,758,1666,908,758,0,0,0,461,461,0,461,461,0,0,0,0
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",1215,889,326,1215,889,326,0,0,0,98,98,0,98,98,0,0,0,0,1008,714,294,1008,714,294,0,0,0,109,77,32,109,77,32,0,0,0
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",487,177,310,487,177,310,0,0,0,487,177,310,487,177,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Chautauqua County PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
