,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
84,Monroe County (Central)--Rochester City (East) PUMA,180,180,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,180,180,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Warren & Washington Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1000,917,83,672,589,83,328,328,0,2,0,2,2,0,2,0,0,0,688,607,81,411,330,81,277,277,0,310,310,0,259,259,0,51,51,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,1417,156,1261,881,76,805,536,80,456,886,76,810,508,76,432,378,0,378,531,80,451,373,0,373,158,80,78,0,0,0,0,0,0,0,0,0
88,Onondaga County (Central)--Syracuse City PUMA,210,32,178,172,32,140,38,0,38,0,0,0,0,0,0,0,0,0,140,0,140,140,0,140,0,0,0,70,32,38,32,32,0,38,0,38
89,Westchester County (Central)--White Plains City PUMA,1104,440,664,1039,440,599,65,0,65,212,0,212,212,0,212,0,0,0,498,208,290,433,208,225,65,0,65,394,232,162,394,232,162,0,0,0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,1674,601,1073,1273,519,754,401,82,319,319,0,319,147,0,147,172,0,172,1038,284,754,809,202,607,229,82,147,317,317,0,317,317,0,0,0,0
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",6700,3907,2793,6295,3907,2388,405,0,405,1593,622,971,1465,622,843,128,0,128,3457,2225,1232,3180,2225,955,277,0,277,1650,1060,590,1650,1060,590,0,0,0
92,Cattaraugus & Allegany Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Oswego County PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",2272,1207,1065,1453,598,855,819,609,210,230,49,181,186,49,137,44,0,44,1431,664,767,907,242,665,524,422,102,611,494,117,360,307,53,251,187,64
95,Monroe County (East) PUMA,516,275,241,275,275,0,241,0,241,0,0,0,0,0,0,0,0,0,516,275,241,275,275,0,241,0,241,0,0,0,0,0,0,0,0,0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3419,2208,1211,2521,2208,313,898,0,898,448,229,219,448,229,219,0,0,0,1949,1167,782,1261,1167,94,688,0,688,1022,812,210,812,812,0,210,0,210
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",658,513,145,608,513,95,50,0,50,95,0,95,95,0,95,0,0,0,139,139,0,139,139,0,0,0,0,424,374,50,374,374,0,50,0,50
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",1838,1152,686,1471,1029,442,367,123,244,423,125,298,423,125,298,0,0,0,697,309,388,330,186,144,367,123,244,718,718,0,718,718,0,0,0,0
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",3375,1369,2006,2647,753,1894,728,616,112,1248,0,1248,1248,0,1248,0,0,0,1666,908,758,938,292,646,728,616,112,461,461,0,461,461,0,0,0,0
