,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
73,Orange County (Northeast)--Greater Newburgh City PUMA,2879,1788,1091,2602,1747,855,277,41,236,506,275,231,465,234,231,41,41,0,2024,1349,675,1788,1349,439,236,0,236,349,164,185,349,164,185,0,0,0
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",9822,6481,3341,8304,5511,2793,1518,970,548,1474,511,963,1297,511,786,177,0,177,7071,4966,2105,6091,4177,1914,980,789,191,1277,1004,273,916,823,93,361,181,180
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",2064,904,1160,1850,746,1104,214,158,56,286,78,208,230,78,152,56,0,56,1649,762,887,1491,604,887,158,158,0,129,64,65,129,64,65,0,0,0
76,Erie County (Central) PUMA,627,467,160,529,467,62,98,0,98,189,127,62,189,127,62,0,0,0,233,233,0,233,233,0,0,0,0,205,107,98,107,107,0,98,0,98
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",6026,4063,1963,5028,3124,1904,998,939,59,1223,688,535,1223,688,535,0,0,0,4043,2674,1369,3526,2216,1310,517,458,59,760,701,59,279,220,59,481,481,0
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",1172,582,590,1049,582,467,123,0,123,552,360,192,552,360,192,0,0,0,522,124,398,399,124,275,123,0,123,98,98,0,98,98,0,0,0,0
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",3323,1638,1685,3014,1638,1376,309,0,309,1287,444,843,1192,444,748,95,0,95,1873,1031,842,1659,1031,628,214,0,214,163,163,0,163,163,0,0,0,0
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,3633,1871,1762,3198,1488,1710,435,383,52,649,282,367,506,139,367,143,143,0,2392,997,1395,2270,927,1343,122,70,52,592,592,0,422,422,0,170,170,0
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,537,413,124,481,413,68,56,0,56,124,124,0,124,124,0,0,0,0,413,289,124,357,289,68,56,0,56,0,0,0,0,0,0,0,0,0
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",625,364,261,625,364,261,0,0,0,625,364,261,625,364,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"Chenango, Delaware & Broome (East) Counties PUMA",349,300,49,108,108,0,241,192,49,0,0,0,0,0,0,0,0,0,349,300,49,108,108,0,241,192,49,0,0,0,0,0,0,0,0,0
84,Orange County (Northwest) PUMA,3681,2368,1313,2930,1734,1196,751,634,117,436,173,263,340,77,263,96,96,0,2691,1641,1050,2106,1173,933,585,468,117,554,554,0,484,484,0,70,70,0
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2104,1045,1059,1798,1045,753,306,0,306,748,293,455,748,293,455,0,0,0,1273,669,604,967,669,298,306,0,306,83,83,0,83,83,0,0,0,0
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,236,108,128,108,108,0,128,0,128,0,0,0,0,0,0,0,0,0,128,0,128,0,0,0,128,0,128,108,108,0,108,108,0,0,0,0
87,Dutchess County (North & East) PUMA,1316,688,628,1205,577,628,111,111,0,490,282,208,379,171,208,111,111,0,751,331,420,751,331,420,0,0,0,75,75,0,75,75,0,0,0,0
88,Putnam County PUMA,1892,1126,766,1736,1126,610,156,0,156,1105,744,361,1044,744,300,61,0,61,477,382,95,382,382,0,95,0,95,310,0,310,310,0,310,0,0,0
89,Albany County (Outside Albany City) PUMA,2115,1615,500,1805,1388,417,310,227,83,261,101,160,261,101,160,0,0,0,1657,1317,340,1347,1090,257,310,227,83,197,197,0,197,197,0,0,0,0
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",10018,4322,5696,8497,4322,4175,1521,0,1521,3938,1109,2829,3729,1109,2620,209,0,209,5304,2749,2555,4133,2749,1384,1171,0,1171,776,464,312,635,464,171,141,0,141
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,730,490,240,651,490,161,79,0,79,81,81,0,81,81,0,0,0,0,496,256,240,417,256,161,79,0,79,153,153,0,153,153,0,0,0,0
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",1233,737,496,1160,737,423,73,0,73,598,232,366,525,232,293,73,0,73,402,366,36,402,366,36,0,0,0,233,139,94,233,139,94,0,0,0
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1698,340,1358,1402,212,1190,296,128,168,627,91,536,459,91,368,168,0,168,1071,249,822,943,121,822,128,128,0,0,0,0,0,0,0,0,0,0
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,377,0,377,135,0,135,242,0,242,297,0,297,135,0,135,162,0,162,80,0,80,0,0,0,80,0,80,0,0,0,0,0,0,0,0,0
95,Oswego County PUMA,377,83,294,377,83,294,0,0,0,0,0,0,0,0,0,0,0,0,294,0,294,294,0,294,0,0,0,83,83,0,83,83,0,0,0,0
96,Rensselaer County--Troy City PUMA,1357,539,818,1026,539,487,331,0,331,221,190,31,190,190,0,31,0,31,1136,349,787,836,349,487,300,0,300,0,0,0,0,0,0,0,0,0
97,Saratoga County (Outer) PUMA,723,723,0,723,723,0,0,0,0,560,560,0,560,560,0,0,0,0,163,163,0,163,163,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,153,153,0,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,0,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Monroe County (East) PUMA,945,420,525,628,420,208,317,0,317,440,98,342,123,98,25,317,0,317,505,322,183,505,322,183,0,0,0,0,0,0,0,0,0,0,0,0
100,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",1558,735,823,1459,735,724,99,0,99,298,68,230,298,68,230,0,0,0,1260,667,593,1161,667,494,99,0,99,0,0,0,0,0,0,0,0,0
101,Erie County (South) PUMA,458,198,260,395,198,197,63,0,63,81,81,0,81,81,0,0,0,0,377,117,260,314,117,197,63,0,63,0,0,0,0,0,0,0,0,0
102,Monroe County (Central)--Greece & Gates Towns PUMA,805,360,445,644,262,382,161,98,63,95,0,95,95,0,95,0,0,0,529,360,169,368,262,106,161,98,63,181,0,181,181,0,181,0,0,0
103,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,1851,1091,760,1132,1091,41,719,0,719,166,166,0,166,166,0,0,0,0,1685,925,760,966,925,41,719,0,719,0,0,0,0,0,0,0,0,0
104,NYC-Manhattan Community District 11--East Harlem PUMA,6520,3558,2962,5100,2691,2409,1420,867,553,1936,176,1760,1383,176,1207,553,0,553,3130,1928,1202,2819,1617,1202,311,311,0,1454,1454,0,898,898,0,556,556,0
105,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",1574,744,830,1334,633,701,240,111,129,687,111,576,501,0,501,186,111,75,528,328,200,528,328,200,0,0,0,359,305,54,305,305,0,54,0,54
106,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,2654,1191,1463,1920,1046,874,734,145,589,1270,707,563,1125,562,563,145,145,0,1168,484,684,795,484,311,373,0,373,216,0,216,0,0,0,216,0,216
107,Onondaga County (North) PUMA,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
108,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,1532,1046,486,956,546,410,576,500,76,261,0,261,185,0,185,76,0,76,861,636,225,636,411,225,225,225,0,410,410,0,135,135,0,275,275,0
109,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",800,533,267,800,533,267,0,0,0,581,314,267,581,314,267,0,0,0,219,219,0,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0
110,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,1680,837,843,915,837,78,765,0,765,803,508,295,508,508,0,295,0,295,407,329,78,407,329,78,0,0,0,470,0,470,0,0,0,470,0,470
111,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",6398,3379,3019,5561,2800,2761,837,579,258,1678,76,1602,1678,76,1602,0,0,0,3450,2356,1094,2717,1777,940,733,579,154,1270,947,323,1166,947,219,104,0,104
112,Erie County (Northeast) PUMA,199,114,85,199,114,85,0,0,0,85,0,85,85,0,85,0,0,0,114,114,0,114,114,0,0,0,0,0,0,0,0,0,0,0,0,0
113,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,1333,555,778,961,555,406,372,0,372,615,227,388,464,227,237,151,0,151,236,67,169,236,67,169,0,0,0,482,261,221,261,261,0,221,0,221
114,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,910,325,585,812,227,585,98,98,0,401,0,401,401,0,401,0,0,0,493,309,184,395,211,184,98,98,0,16,16,0,16,16,0,0,0,0
115,Fulton & Montgomery Counties PUMA,1025,662,363,791,662,129,234,0,234,0,0,0,0,0,0,0,0,0,827,662,165,791,662,129,36,0,36,198,0,198,0,0,0,198,0,198
