,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2970,1532,1438,1835,1082,753,1135,450,685,748,293,455,748,293,455,0,0,0,1431,827,604,1004,706,298,427,121,306,791,412,379,83,83,0,708,329,379
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,286,108,178,158,108,50,128,0,128,50,0,50,50,0,50,0,0,0,128,0,128,0,0,0,128,0,128,108,108,0,108,108,0,0,0,0
87,Dutchess County (North & East) PUMA,1732,825,907,1036,743,293,696,82,614,490,282,208,366,282,84,124,0,124,947,468,479,528,386,142,419,82,337,295,75,220,142,75,67,153,0,153
88,Putnam County PUMA,1994,1197,797,1749,1047,702,245,150,95,1105,744,361,1105,744,361,0,0,0,579,453,126,334,303,31,245,150,95,310,0,310,310,0,310,0,0,0
89,Albany County (Outside Albany City) PUMA,2279,1615,664,1904,1418,486,375,197,178,261,101,160,261,101,160,0,0,0,1821,1317,504,1643,1317,326,178,0,178,197,197,0,0,0,0,197,197,0
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",13709,5641,8068,12008,5564,6444,1701,77,1624,4414,1197,3217,4086,1197,2889,328,0,328,8508,3969,4539,7146,3903,3243,1362,66,1296,787,475,312,776,464,312,11,11,0
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,2132,1234,898,901,576,325,1231,658,573,81,81,0,81,81,0,0,0,0,1325,1000,325,667,342,325,658,658,0,726,153,573,153,153,0,573,0,573
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",2070,1176,894,1448,869,579,622,307,315,598,232,366,598,232,366,0,0,0,988,805,183,617,498,119,371,307,64,484,139,345,233,139,94,251,0,251
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1916,478,1438,1698,340,1358,218,138,80,707,91,616,627,91,536,80,0,80,1209,387,822,1071,249,822,138,138,0,0,0,0,0,0,0,0,0,0
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,803,245,558,798,240,558,5,5,0,362,0,362,362,0,362,0,0,0,436,240,196,436,240,196,0,0,0,5,5,0,0,0,0,5,5,0
