,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,14622,8485,6137,14024,8277,5747,598,208,390,8461,4969,3492,8307,4815,3492,154,154,0,5453,3119,2334,5009,3065,1944,444,54,390,708,397,311,708,397,311,0,0,0
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",1073,587,486,1001,515,486,72,72,0,308,139,169,308,139,169,0,0,0,374,57,317,374,57,317,0,0,0,391,391,0,319,319,0,72,72,0
92,Cattaraugus & Allegany Counties PUMA,42601,22828,19773,39765,20815,18950,2836,2013,823,8913,4104,4809,8685,3961,4724,228,143,85,30872,16654,14218,28667,15187,13480,2205,1467,738,2816,2070,746,2413,1667,746,403,403,0
93,Oswego County PUMA,43185,22131,21054,39744,19823,19921,3441,2308,1133,7631,3998,3633,7325,3715,3610,306,283,23,31230,15723,15507,29204,14412,14792,2026,1311,715,4324,2410,1914,3215,1696,1519,1109,714,395
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",25206,13157,12049,23828,12676,11152,1378,481,897,9290,3955,5335,8998,3864,5134,292,91,201,15085,8835,6250,14131,8445,5686,954,390,564,831,367,464,699,367,332,132,0,132
95,Monroe County (East) PUMA,47012,23613,23399,46204,23044,23160,808,569,239,22667,10964,11703,22340,10637,11703,327,327,0,22984,11608,11376,22503,11366,11137,481,242,239,1361,1041,320,1361,1041,320,0,0,0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,28696,14752,13944,27670,14172,13498,1026,580,446,19660,9651,10009,19062,9499,9563,598,152,446,8530,4595,3935,8265,4330,3935,265,265,0,506,506,0,343,343,0,163,163,0
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",12463,6845,5618,11253,5982,5271,1210,863,347,7542,4335,3207,7051,3927,3124,491,408,83,4601,2358,2243,3928,1903,2025,673,455,218,320,152,168,274,152,122,46,0,46
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",22735,13022,9713,21929,12657,9272,806,365,441,7034,4137,2897,6639,3977,2662,395,160,235,12705,6561,6144,12294,6356,5938,411,205,206,2996,2324,672,2996,2324,672,0,0,0
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",11624,6556,5068,11067,6289,4778,557,267,290,4673,2126,2547,4612,2065,2547,61,61,0,6089,3918,2171,5883,3712,2171,206,206,0,862,512,350,572,512,60,290,0,290
