,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
72,Orange County (Southeast) PUMA,40976,21023,19953,35626,18040,17586,5350,2983,2367,15759,7521,8238,15425,7283,8142,334,238,96,22406,12202,10204,19334,10324,9010,3072,1878,1194,2811,1300,1511,867,433,434,1944,867,1077
73,Westchester County (Southeast) PUMA,30622,15200,15422,28099,14221,13878,2523,979,1544,21546,10242,11304,20184,9900,10284,1362,342,1020,8135,4155,3980,7164,3570,3594,971,585,386,941,803,138,751,751,0,190,52,138
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,38827,21053,17774,35224,19501,15723,3603,1552,2051,27592,15254,12338,26011,14622,11389,1581,632,949,10487,5357,5130,8674,4533,4141,1813,824,989,748,442,306,539,346,193,209,96,113
75,Livingston & Wyoming Counties PUMA,47357,23493,23864,38954,19558,19396,8403,3935,4468,9678,3873,5805,9019,3633,5386,659,240,419,33700,17446,16254,27384,14310,13074,6316,3136,3180,3979,2174,1805,2551,1615,936,1428,559,869
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,51413,25365,26048,47163,23026,24137,4250,2339,1911,15181,6131,9050,14552,5610,8942,629,521,108,34682,18392,16290,31704,17012,14692,2978,1380,1598,1550,842,708,907,404,503,643,438,205
77,Westchester County (Southwest)--Yonkers City PUMA,31773,14885,16888,26054,12402,13652,5719,2483,3236,15294,5943,9351,13389,5169,8220,1905,774,1131,15376,8368,7008,12187,7001,5186,3189,1367,1822,1103,574,529,478,232,246,625,342,283
78,Erie County (North Central) PUMA,45285,21380,23905,41866,20411,21455,3419,969,2450,28588,13619,14969,27566,13349,14217,1022,270,752,16240,7625,8615,14081,6994,7087,2159,631,1528,457,136,321,219,68,151,238,68,170
79,Saratoga County (South & Central) PUMA,51241,25210,26031,44870,23102,21768,6371,2108,4263,23911,10779,13132,22894,10695,12199,1017,84,933,25162,13411,11751,21250,12089,9161,3912,1322,2590,2168,1020,1148,726,318,408,1442,702,740
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,47615,22198,25417,44089,20614,23475,3526,1584,1942,14600,5521,9079,14430,5422,9008,170,99,71,29750,14871,14879,27055,13835,13220,2695,1036,1659,3265,1806,1459,2604,1357,1247,661,449,212
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",63379,29039,34340,57808,26990,30818,5571,2049,3522,22098,10386,11712,21552,10221,11331,546,165,381,40096,17906,22190,35599,16336,19263,4497,1570,2927,1185,747,438,657,433,224,528,314,214
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,56837,28662,28175,47788,24823,22965,9049,3839,5210,13305,5608,7697,12770,5334,7436,535,274,261,38630,20198,18432,31861,17523,14338,6769,2675,4094,4902,2856,2046,3157,1966,1191,1745,890,855
83,Niagara County (North & East) PUMA,52462,25640,26822,43656,21571,22085,8806,4069,4737,13771,5689,8082,13365,5376,7989,406,313,93,35103,18295,16808,27453,14968,12485,7650,3327,4323,3588,1656,1932,2838,1227,1611,750,429,321
84,Monroe County (Central)--Rochester City (East) PUMA,26570,14183,12387,21309,12064,9245,5261,2119,3142,11034,5220,5814,10234,5053,5181,800,167,633,14023,7834,6189,10506,6529,3977,3517,1305,2212,1513,1129,384,569,482,87,944,647,297
85,Warren & Washington Counties PUMA,61382,30508,30874,48923,24885,24038,12459,5623,6836,14566,4889,9677,13496,4485,9011,1070,404,666,41447,21685,19762,33236,18676,14560,8211,3009,5202,5369,3934,1435,2191,1724,467,3178,2210,968
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,34114,16451,17663,32004,15776,16228,2110,675,1435,21652,9870,11782,20269,9347,10922,1383,523,860,11890,6317,5573,11285,6165,5120,605,152,453,572,264,308,450,264,186,122,0,122
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,17869,8765,9104,16436,8312,8124,1433,453,980,14957,6805,8152,14042,6596,7446,915,209,706,2679,1802,877,2311,1633,678,368,169,199,233,158,75,83,83,0,150,75,75
88,Onondaga County (Central)--Syracuse City PUMA,35947,18017,17930,26761,14043,12718,9186,3974,5212,15296,7508,7788,13442,6561,6881,1854,947,907,16880,8658,8222,11387,6091,5296,5493,2567,2926,3771,1851,1920,1932,1391,541,1839,460,1379
89,Westchester County (Central)--White Plains City PUMA,42984,20367,22617,40774,19213,21561,2210,1154,1056,34434,16115,18319,32970,15210,17760,1464,905,559,8058,4000,4058,7545,3849,3696,513,151,362,492,252,240,259,154,105,233,98,135
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,17121,9116,8005,11325,6388,4937,5796,2728,3068,8864,4969,3895,7348,4068,3280,1516,901,615,7141,3654,3487,3516,2161,1355,3625,1493,2132,1116,493,623,461,159,302,655,334,321
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",1529,821,708,859,407,452,670,414,256,308,139,169,274,139,135,34,0,34,627,180,447,317,0,317,310,180,130,594,502,92,268,268,0,326,234,92
92,Cattaraugus & Allegany Counties PUMA,57232,28676,28556,42077,20947,21130,15155,7729,7426,10575,4596,5979,9728,4208,5520,847,388,459,40254,20806,19448,30099,15552,14547,10155,5254,4901,6403,3274,3129,2250,1187,1063,4153,2087,2066
