,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
77,Cattaraugus & Allegany Counties PUMA,199,84,115,199,84,115,0,0,0,144,29,115,144,29,115,0,0,0,55,55,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",2803,1820,983,2186,1463,723,617,357,260,1168,801,367,1072,801,271,96,0,96,1324,895,429,971,662,309,353,233,120,311,124,187,143,0,143,168,124,44
79,Jefferson & Lewis Counties PUMA,247,81,166,226,60,166,21,21,0,163,60,103,163,60,103,0,0,0,84,21,63,63,0,63,21,21,0,0,0,0,0,0,0,0,0,0
80,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",2573,1545,1028,2244,1432,812,329,113,216,2255,1314,941,1926,1201,725,329,113,216,318,231,87,318,231,87,0,0,0,0,0,0,0,0,0,0,0,0
81,NYC-Queens Community District 1--Astoria & Long Island City PUMA,8243,4146,4097,7378,4088,3290,865,58,807,4887,1890,2997,4310,1832,2478,577,58,519,3093,2079,1014,2891,2079,812,202,0,202,263,177,86,177,177,0,86,0,86
82,Saratoga County (Outer) PUMA,132,132,0,132,132,0,0,0,0,132,132,0,132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Dutchess County (Southwest) PUMA,2449,1154,1295,2377,1154,1223,72,0,72,1314,547,767,1314,547,767,0,0,0,1135,607,528,1063,607,456,72,0,72,0,0,0,0,0,0,0,0,0
84,Erie County (Northwest) PUMA,1305,720,585,1305,720,585,0,0,0,402,132,270,402,132,270,0,0,0,903,588,315,903,588,315,0,0,0,0,0,0,0,0,0,0,0,0
85,Genesee & Orleans Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Erie County (Northeast) PUMA,486,241,245,420,241,179,66,0,66,486,241,245,420,241,179,66,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
