,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",1787,835,952,1629,835,794,158,0,158,840,232,608,767,232,535,73,0,73,714,464,250,629,464,165,85,0,85,233,139,94,233,139,94,0,0,0
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,3527,1398,2129,3040,1270,1770,487,128,359,1635,772,863,1373,772,601,262,0,262,1795,626,1169,1667,498,1169,128,128,0,97,0,97,0,0,0,97,0,97
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,1249,679,570,1007,679,328,242,0,242,514,162,352,352,162,190,162,0,162,735,517,218,655,517,138,80,0,80,0,0,0,0,0,0,0,0,0
95,Oswego County PUMA,626,332,294,626,332,294,0,0,0,0,0,0,0,0,0,0,0,0,543,249,294,543,249,294,0,0,0,83,83,0,83,83,0,0,0,0
96,Rensselaer County--Troy City PUMA,3030,1325,1705,2308,1049,1259,722,276,446,459,419,40,419,419,0,40,0,40,2571,906,1665,1889,630,1259,682,276,406,0,0,0,0,0,0,0,0,0
97,Saratoga County (Outer) PUMA,1059,1059,0,1059,1059,0,0,0,0,560,560,0,560,560,0,0,0,0,499,499,0,499,499,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,153,153,0,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,0,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Monroe County (East) PUMA,2258,967,1291,1769,875,894,489,92,397,943,421,522,534,329,205,409,92,317,1235,546,689,1235,546,689,0,0,0,80,0,80,0,0,0,80,0,80
100,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",3536,1813,1723,3122,1565,1557,414,248,166,827,183,644,827,183,644,0,0,0,2709,1630,1079,2295,1382,913,414,248,166,0,0,0,0,0,0,0,0,0
101,Erie County (South) PUMA,936,319,617,873,319,554,63,0,63,345,156,189,345,156,189,0,0,0,591,163,428,528,163,365,63,0,63,0,0,0,0,0,0,0,0,0
102,Monroe County (Central)--Greece & Gates Towns PUMA,1656,660,996,1123,478,645,533,182,351,175,0,175,175,0,175,0,0,0,1152,596,556,619,414,205,533,182,351,329,64,265,329,64,265,0,0,0
103,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,7540,3803,3737,5652,3803,1849,1888,0,1888,2484,1172,1312,2307,1172,1135,177,0,177,4597,2631,1966,3062,2631,431,1535,0,1535,459,0,459,283,0,283,176,0,176
104,NYC-Manhattan Community District 11--East Harlem PUMA,12169,6267,5902,9369,5006,4363,2800,1261,1539,3800,1087,2713,3247,1087,2160,553,0,553,6352,3163,3189,4661,2458,2203,1691,705,986,2017,2017,0,1461,1461,0,556,556,0
105,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",8265,4429,3836,6545,4038,2507,1720,391,1329,2336,703,1633,1931,592,1339,405,111,294,4651,3134,1517,4022,2854,1168,629,280,349,1278,592,686,592,592,0,686,0,686
