,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,2850,1670,1180,63433.43859649123,59347.48502994012,69216.10169491525,1126,585,541,88693.60568383659,78837.60683760684,99351.20147874307,1358,719,639,51035.346097201764,57552.155771905425,43702.660406885756,366,366,0,31722.131147540982,31722.131147540982,0.0
73,Orange County (Northeast)--Greater Newburgh City PUMA,5867,3220,2647,50132.31634566218,59906.95652173913,38241.74537211938,1503,908,595,62173.32002661344,66747.24669603525,55193.27731092437,3964,2097,1867,49540.565085771945,61653.74344301383,35935.13658275308,400,215,185,10752.5,13981.39534883721,7000.0
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",14042,8252,5790,55757.34012248967,58060.24115365972,52475.20898100173,3314,1238,2076,72269.61677730839,64324.19224555735,77007.78420038536,9468,6191,3277,54041.514575411915,60875.264093038284,41131.00396704303,1260,823,437,25220.634920634922,27461.72539489672,21000.0
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",3933,2247,1686,42703.915586066614,46372.27414330218,37814.94661921708,782,434,348,62534.52685421995,71769.58525345621,51017.24137931035,2859,1586,1273,38033.683105981116,40728.43631778058,34676.35506677141,292,227,65,35322.602739726026,37247.57709251101,28600.0
76,Erie County (Central) PUMA,847,709,138,61091.49940968123,55142.45416078984,91655.79710144928,450,312,138,84107.33333333333,80768.58974358975,91655.79710144928,290,290,0,35004.137931034486,35004.137931034486,0.0,107,107,0,35000.0,35000.0,0.0
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",9719,4660,5059,50257.083033233874,66815.34120171674,35004.76378730975,2497,1252,1245,69738.47016419703,77665.14376996805,61767.22891566265,6554,3044,3510,45116.17790662191,65626.65243101183,27328.74643874644,668,364,304,27874.550898203594,39437.36263736264,14029.605263157895
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",2039,935,1104,49430.407062285434,47265.454545454544,51263.94927536232,763,360,403,65601.57273918742,70000.0,61672.45657568238,1064,477,587,36737.406015037595,38585.3249475891,35235.77512776831,212,98,114,54933.96226415094,6000.0,97000.0
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",10316,5613,4703,49388.52849941838,50129.86281845715,48503.750797363384,4009,1535,2474,73215.86430531305,86375.24429967426,65051.09135004042,4686,2715,1971,36103.76867264191,39546.78453038674,31361.106037544392,1621,1363,258,28863.29426280074,30391.34262655906,20790.697674418603
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,8368,4148,4220,52179.26625239006,56637.70491803279,47796.89573459716,2661,1000,1661,71399.73694099962,88070.0,61363.45574954846,5060,2656,2404,43367.15415019763,47297.81626506024,39024.459234608985,647,492,155,42045.749613601234,43171.13821138212,38473.54838709677
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,916,735,181,54632.096069868996,44889.795918367345,94193.37016574586,237,124,113,77911.39240506329,35000.0,125000.0,503,435,68,57530.81510934394,59802.29885057471,43000.0,176,176,0,15000.0,15000.0,0.0
