,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
139,Monroe County (South) PUMA,6893,4756,2635,2121,1682,1047,635,455,0,455
140,Suffolk County (Central)--Islip Town (Northwest) PUMA,21132,3119,874,2245,14465,8074,6391,3548,2269,1279
141,St. Lawrence County PUMA,1569,953,160,793,568,235,333,48,48,0
142,Nassau County (West Central)--Hempstead Town (West Central) PUMA,10520,4576,1733,2843,5727,2478,3249,217,51,166
143,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,9731,1790,769,1021,4730,2584,2146,3211,2564,647
144,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",16125,4610,2138,2472,9459,5769,3690,2056,910,1146
145,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,4006,767,315,452,2989,1387,1602,250,72,178
146,Capital Region,23690,13601,7063,6538,7909,3448,4461,2180,1521,659
147,Central NY,15009,7774,3918,3856,5854,3315,2539,1381,652,729
148,Finger Lakes,25620,10737,6051,4686,12181,5785,6396,2702,1323,1379
149,Long Island,209768,80978,37241,43737,99095,49636,49459,29695,19178,10517
150,Mid-Hudson,171740,69233,30510,38723,76889,37505,39384,25618,14985,10633
151,Mohawk Valley,8257,2760,1288,1472,4179,1875,2304,1318,808,510
152,New York City,1091387,440863,214103,226760,506312,253739,252573,144212,80807,63405
153,North Country,5129,2202,672,1530,2052,754,1298,875,755,120
154,Southern Tier,13835,10044,4298,5746,3299,1989,1310,492,276,216
155,Western NY,22640,11525,5503,6022,8883,4839,4044,2232,637,1595
