,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
83,"Chenango, Delaware & Broome (East) Counties PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Orange County (Northwest) PUMA,1803,1109,694,1433,1109,324,370,0,370,93,0,93,93,0,93,0,0,0,1710,1109,601,1340,1109,231,370,0,370,0,0,0,0,0,0,0,0,0
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,898,448,450,767,377,390,131,71,60,277,186,91,277,186,91,0,0,0,356,100,256,296,100,196,60,0,60,265,162,103,194,91,103,71,71,0
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,477,415,62,415,415,0,62,0,62,143,143,0,143,143,0,0,0,0,334,272,62,272,272,0,62,0,62,0,0,0,0,0,0,0,0,0
87,Dutchess County (North & East) PUMA,548,302,246,320,237,83,228,65,163,65,65,0,0,0,0,65,65,0,275,110,165,193,110,83,82,0,82,208,127,81,127,127,0,81,0,81
88,Putnam County PUMA,939,345,594,907,345,562,32,0,32,559,40,519,527,40,487,32,0,32,173,98,75,173,98,75,0,0,0,207,207,0,207,207,0,0,0,0
89,Albany County (Outside Albany City) PUMA,441,0,441,441,0,441,0,0,0,303,0,303,303,0,303,0,0,0,138,0,138,138,0,138,0,0,0,0,0,0,0,0,0,0,0,0
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",892,450,442,838,450,388,54,0,54,43,0,43,43,0,43,0,0,0,789,390,399,735,390,345,54,0,54,60,60,0,60,60,0,0,0,0
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,4985,3262,1723,3813,2828,985,1172,434,738,719,628,91,387,387,0,332,241,91,3581,2095,1486,2887,1902,985,694,193,501,685,539,146,539,539,0,146,0,146
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",1233,901,332,887,730,157,346,171,175,114,114,0,0,0,0,114,114,0,524,265,259,349,265,84,175,0,175,595,522,73,538,465,73,57,57,0
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,232,151,81,232,151,81,0,0,0,81,0,81,81,0,81,0,0,0,151,151,0,151,151,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,887,259,628,715,259,456,172,0,172,401,154,247,229,154,75,172,0,172,381,0,381,381,0,381,0,0,0,105,105,0,105,105,0,0,0,0
95,Oswego County PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Rensselaer County--Troy City PUMA,167,62,105,167,62,105,0,0,0,167,62,105,167,62,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Saratoga County (Outer) PUMA,146,0,146,146,0,146,0,0,0,0,0,0,0,0,0,0,0,0,146,0,146,146,0,146,0,0,0,0,0,0,0,0,0,0,0,0
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Monroe County (East) PUMA,135,69,66,69,69,0,66,0,66,69,69,0,69,69,0,0,0,0,66,0,66,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0
