,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
101,Ulster County (East) PUMA,38816,19226,19590,61345.69643961253,68580,54245,15672,6027,9645,76419.9806661562,85226,70917,21823,12224,9599,51459.06685606929,62016,38014,1321,975,346,45836.033308099926,47973,39812
102,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,7241,4384,2857,78626.49495925977,87281,65345,4018,2298,1720,85641.90642110503,97571,69703,3024,1945,1079,71710.27447089947,78080,60226,199,141,58,42077.38693467337,46510,31300
103,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,5791,3208,2583,49563.192885512,46116,53843,2765,1214,1551,57932.40506329114,66300,51382,2838,1806,1032,42821.8992248062,34410,57542,188,188,0,28238.297872340427,28238,0
104,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,26887,15047,11840,51133.054301335214,60098,39739,9864,5678,4186,65335.48154906731,76640,50000,16107,8895,7212,44270.01241696157,51874,34891,916,474,442,18873.52729257642,16276,21658
105,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,25677,14045,11632,96600.9526034973,112399,77524,14089,6588,7501,115458.71176094825,144342,90090,11022,7094,3928,75397.5476320087,87010,54423,566,363,203,40093.81625441696,28849,60200
106,Saratoga County (Outer) PUMA,38977,21609,17368,60717.28963234728,64614,55868,14527,7837,6690,80837.70854271356,91244,68646,23252,12798,10454,46448.753053500775,50502,41486,1198,974,224,93674.45742904842,35776,345428
107,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",42421,25786,16635,130631.93333490488,144492,109146,36947,21757,15190,136917.78071291308,154438,111823,5474,4029,1445,88205.33430763609,90787,81006,0,0,0,#DIV/0!,0,0
108,NYC-Brooklyn Community District 4--Bushwick PUMA,10496,5544,4952,58222.337652439026,61278,54800,8993,4355,4638,60416.21883687312,66969,54263,1420,1106,314,45744.08450704225,40919,62738,83,83,0,34000.0,34000,0
109,Suffolk County (Central)--Islip Town (East) PUMA,29884,17678,12206,80186.81585463793,88079,68755,13483,6383,7100,95727.83905658979,107331,85296,15227,10317,4910,69313.4176134498,80933,44897,1174,978,196,42733.3398637138,37818,67257
110,Westchester County (Southwest)--Yonkers City PUMA,22695,12003,10692,72767.28446794448,78478,66355,13656,6506,7150,86098.71272700644,97342,75867,8938,5435,3503,52843.309465204744,56530,47122,101,62,39,33425.74257425743,23000,50000
