,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
75,Livingston & Wyoming Counties PUMA,97,51,46,97,51,46,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,36,0,36,0,0,0,61,51,10,61,51,10,0,0,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,1912,993,919,1912,993,919,0,0,0,68,0,68,68,0,68,0,0,0,1370,679,691,1370,679,691,0,0,0,474,314,160,474,314,160,0,0,0
77,Westchester County (Southwest)--Yonkers City PUMA,5852,3788,2064,5400,3707,1693,452,81,371,941,142,799,941,142,799,0,0,0,3510,2736,774,3197,2655,542,313,81,232,1401,910,491,1262,910,352,139,0,139
78,Erie County (North Central) PUMA,385,81,304,385,81,304,0,0,0,385,81,304,385,81,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Saratoga County (South & Central) PUMA,88,0,88,88,0,88,0,0,0,88,0,88,88,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,3667,2501,1166,3667,2501,1166,0,0,0,380,89,291,380,89,291,0,0,0,1963,1452,511,1963,1452,511,0,0,0,1324,960,364,1324,960,364,0,0,0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",86,86,0,86,86,0,0,0,0,86,86,0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Niagara County (North & East) PUMA,156,71,85,71,71,0,85,0,85,85,0,85,0,0,0,85,0,85,71,71,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,771,250,521,771,250,521,0,0,0,0,0,0,0,0,0,0,0,0,493,250,243,493,250,243,0,0,0,278,0,278,278,0,278,0,0,0
85,Warren & Washington Counties PUMA,55,0,55,55,0,55,0,0,0,55,0,55,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1210,858,352,1210,858,352,0,0,0,630,278,352,630,278,352,0,0,0,580,580,0,580,580,0,0,0,0,0,0,0,0,0,0,0,0,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,320,70,250,285,70,215,35,0,35,320,70,250,285,70,215,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Onondaga County (Central)--Syracuse City PUMA,865,561,304,650,561,89,215,0,215,0,0,0,0,0,0,0,0,0,865,561,304,650,561,89,215,0,215,0,0,0,0,0,0,0,0,0
89,Westchester County (Central)--White Plains City PUMA,5598,2888,2710,5598,2888,2710,0,0,0,2346,522,1824,2346,522,1824,0,0,0,2281,1395,886,2281,1395,886,0,0,0,971,971,0,971,971,0,0,0,0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,1109,467,642,1109,467,642,0,0,0,312,0,312,312,0,312,0,0,0,641,467,174,641,467,174,0,0,0,156,0,156,156,0,156,0,0,0
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",1346,989,357,1254,897,357,92,92,0,581,429,152,581,429,152,0,0,0,469,329,140,377,237,140,92,92,0,296,231,65,296,231,65,0,0,0
92,Cattaraugus & Allegany Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Oswego County PUMA,80,80,0,80,80,0,0,0,0,80,80,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",7039,4502,2537,6687,4429,2258,352,73,279,1536,739,797,1417,666,751,119,73,46,4046,2381,1665,3888,2381,1507,158,0,158,1457,1382,75,1382,1382,0,75,0,75
95,Monroe County (East) PUMA,167,0,167,167,0,167,0,0,0,83,0,83,83,0,83,0,0,0,84,0,84,84,0,84,0,0,0,0,0,0,0,0,0,0,0,0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1674,749,925,1453,749,704,221,0,221,454,262,192,454,262,192,0,0,0,984,251,733,763,251,512,221,0,221,236,236,0,236,236,0,0,0,0
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",2409,1294,1115,2409,1294,1115,0,0,0,400,0,400,400,0,400,0,0,0,0,0,0,0,0,0,0,0,0,2009,1294,715,2009,1294,715,0,0,0
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",608,476,132,608,476,132,0,0,0,44,44,0,44,44,0,0,0,0,203,71,132,203,71,132,0,0,0,361,361,0,361,361,0,0,0,0
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",73,73,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,73,0,73,73,0,0,0,0
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",1084,289,795,1084,289,795,0,0,0,315,112,203,315,112,203,0,0,0,716,124,592,716,124,592,0,0,0,53,53,0,53,53,0,0,0,0
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",2231,1814,417,2231,1814,417,0,0,0,2231,1814,417,2231,1814,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Chautauqua County PUMA,31,0,31,31,0,31,0,0,0,31,0,31,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,1043,570,473,1043,570,473,0,0,0,395,170,225,395,170,225,0,0,0,648,400,248,648,400,248,0,0,0,0,0,0,0,0,0,0,0,0
104,Erie County (West Central)--Buffalo City (East) PUMA,155,84,71,155,84,71,0,0,0,0,0,0,0,0,0,0,0,0,84,84,0,84,84,0,0,0,0,71,0,71,71,0,71,0,0,0
105,Genesee & Orleans Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",2405,761,1644,2405,761,1644,0,0,0,304,0,304,304,0,304,0,0,0,1859,565,1294,1859,565,1294,0,0,0,242,196,46,242,196,46,0,0,0
107,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",79,79,0,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,0,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,881,547,334,881,547,334,0,0,0,348,260,88,348,260,88,0,0,0,533,287,246,533,287,246,0,0,0,0,0,0,0,0,0,0,0,0
109,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",2399,1132,1267,2306,1132,1174,93,0,93,312,126,186,312,126,186,0,0,0,1011,425,586,1011,425,586,0,0,0,1076,581,495,983,581,402,93,0,93
110,Suffolk County (East) PUMA,7967,5625,2342,7967,5625,2342,0,0,0,1687,1564,123,1687,1564,123,0,0,0,5525,3385,2140,5525,3385,2140,0,0,0,755,676,79,755,676,79,0,0,0
111,Orange County (Northwest) PUMA,706,437,269,706,437,269,0,0,0,0,0,0,0,0,0,0,0,0,545,333,212,545,333,212,0,0,0,161,104,57,161,104,57,0,0,0
112,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",1007,788,219,1007,788,219,0,0,0,413,287,126,413,287,126,0,0,0,357,264,93,357,264,93,0,0,0,237,237,0,237,237,0,0,0,0
114,Suffolk County (Northwest)--Smithtown Town PUMA,503,335,168,503,335,168,0,0,0,168,0,168,168,0,168,0,0,0,335,335,0,335,335,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Ulster County (East) PUMA,574,256,318,574,256,318,0,0,0,349,68,281,349,68,281,0,0,0,147,147,0,147,147,0,0,0,0,78,41,37,78,41,37,0,0,0
