,puma,Unemployment_BABS_F,Unemployment_HS_F,FT_Work_BABS_F,FT_Work_HS_F,Poverty_BABS_F,Poverty_HS_F,Working_Poor_BABS_F,Working_Poor_HS_F,Income_level_BABS_F,Income_level_HS_F,Rent_Burden_BABS_F,Rent_Burden_HS_F,Home_Ownership_BABS_F,Home_Ownership_HS_F
95,Monroe County (East) PUMA,#DIV/0!,0.0,1.293112167492667,0.43557847082494966,0.0,2.245740727104371,0.0,0.0,1.191765200906265,1.2974276936049716,#DIV/0!,3.0859756097560975,0.8585725992944838,0.8037558158970276
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.23083622407557752,5.558568230717406,1.1250277281218195,0.5455798459490919,0.0,0.35577874226647527,0.0,0.0,0.7396126991310452,0.8504230841461456,0.0,0.0,0.898411649398384,0.8430093702082305
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",0.0,0.0,1.4242386743081528,1.1909433962264149,0.4623081439867098,0.5732314782961117,0.0,0.0,0.6831674063707047,0.8532541059234119,1.7846437034711444,#DIV/0!,0.49794436380527285,3.436890045543266
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",1.4538290129139388,4.554717527230009,0.9901788200660381,1.3031366417417676,0.8539772068147545,0.843665475545083,1.4060245636716227,6.278577978146252,0.6969588192563004,0.7941322328892353,0.8436283674933267,0.4656615353767457,0.5083040930058418,0.9081281956047007
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",2.3979907066526764,0.0,1.1710056151097499,0.7659074413660586,0.0,0.7019498153267586,0.0,0.0,0.6775744158618145,1.1420880971163616,0.0,0.5791527933987373,1.052375708575357,0.9741028656156275
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",9.68860951050579,0.27220237661296204,0.9591155450476905,1.3877813872266775,2.893917221648815,0.7061690706166835,#DIV/0!,#DIV/0!,0.8896463709521122,0.8299850899088174,inf,0.24082611281546792,0.8203830531066133,0.9328616206699365
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",1.1412046465117456,#DIV/0!,0.7931036338793198,1.1375886524822694,3.2350143352149567,0.0,0.0,#DIV/0!,1.2719851090963514,0.24565125842087288,1.6204238508820719,#DIV/0!,1.750081309127145,0.0
102,Chautauqua County PUMA,0.0,#DIV/0!,1.2316448491747296,#DIV/0!,0.0,3.604635651158913,0.0,#DIV/0!,0.531877953538944,0.0,#DIV/0!,2.88414907947912,1.2134831460674158,0.0
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,3.7877274128893004,0.7879716733025226,1.0771271056428182,0.977319273135465,8.119300265560003,1.228180532661117,inf,1.072990467223726,0.9985765618662349,1.6300496717601394,15.536257380407278,0.9052642523109757,1.056432111452328,0.9609338010894803
104,Erie County (West Central)--Buffalo City (East) PUMA,0.0,0.0,1.1671896010757508,0.0,5.600217391304348,1.2410644017902734,inf,#DIV/0!,1.4959252737640611,0.0,0.5168084747717614,0.909982755117458,0.1718139983671046,0.4154297150930068
105,Genesee & Orleans Counties PUMA,0.0,5.016499588811509,1.1625556004852406,0.8019450359424349,0.0,1.2876876397317152,0.0,0.0,2.784375003408516,0.5449768482389054,0.0,0.0,0.0,0.9562467279411411
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",0.589660919512466,0.510296499477534,0.9818841995310299,1.0133438841064883,0.4971396367104522,0.9006245603742692,1.2311899511351603,1.0611651250529468,1.0035835903528136,0.8138803347252913,0.5150945251616393,0.6868982509846379,1.1512500348286099,1.0789850808135684
107,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0.0,0.0,1.140014738393515,1.3774509803921569,0.0,0.0,0.0,0.0,0.3964728155991641,0.6254074466751701,#DIV/0!,0.0,1.124300807955252,0.6147167294006228
108,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,0.0,0.0,0.9662955826588112,0.9957178273608295,3.8251669832509996,2.5729499341238475,#DIV/0!,0.0,1.0076106817612775,0.8951413521269422,23.35714285714286,3.0312500000000004,0.9383014205142832,0.6925752328984341
109,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",0.0,0.7097265812546809,1.0924037378917912,0.9160942945345485,2.0912828080531254,1.1767411356265682,0.0,1.9343392764254612,0.8961358916008579,0.7908857145333357,2.7708839414656956,0.9309078306540989,2.040351946301472,1.2438560578576547
110,Suffolk County (East) PUMA,14.244124847001224,0.0,0.917688546630637,0.7268318504624106,4.304157715717866,0.9612531540467361,23.09444444444444,1.4502237694872555,0.604089292143132,0.7677635411356544,0.0,0.0705088921472939,1.12273016370787,0.46928477937151486
111,Orange County (Northwest) PUMA,0.0,0.0,1.1819261017955187,1.248256783281376,4.554167045727093,0.3672054753252621,inf,0.0,0.9036737510561175,0.607504798404018,#DIV/0!,1.3649317915496695,0.6064524217597843,1.2660212144019505
112,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,40.18518518518518,1.5199984314955692,1.2696551724137932,1.2934296220915729,9.202310631423792,0.2183330742167481,0.0,0.0,1.0111734082741928,0.8944581213338811,0.0,0.0,0.4143378959367639,1.228019736403789
113,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",0.798531155438057,0.5438191196696227,1.0525588808216753,1.317029564557395,1.2164395816618505,0.6241746061233511,0.0,1.683940575225388,1.0984429112179035,0.6758744615754614,0.302478311951135,0.8922370240955085,0.9650802855998958,0.9788966733988215
