,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
145,Suffolk County (Central)--Islip Town (Northwest) PUMA,1534,170,83,87,867,637,230,497,497,0
146,Capital Region,4187,105,0,105,2187,1060,1127,1895,1103,792
147,Central NY,3046,479,196,283,1930,924,1006,637,251,386
148,Finger Lakes,13564,1666,629,1037,7354,3790,3564,4544,2344,2200
149,Long Island,9544,2576,1326,1250,6064,2734,3330,904,835,69
150,Mid-Hudson,11581,2465,1068,1397,5727,2865,2862,3389,2169,1220
151,Mohawk Valley,3815,131,63,68,2173,921,1252,1511,844,667
152,New York City,90008,10434,4960,5474,48328,17270,31058,31246,14977,16269
153,North Country,1911,276,133,143,1099,850,249,536,406,130
154,Southern Tier,912,38,0,38,258,258,0,616,528,88
155,Western NY,8730,1258,224,1034,4684,1416,3268,2788,1751,1037
