,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
54,Columbia & Greene Counties PUMA,272.0,60.0,212.0,197.0,60.0,137.0,75.0,0.0,75.0,48.0,0.0,48.0,48.0,0.0,48.0,0.0,0.0,0.0,224.0,60.0,164.0,149.0,60.0,89.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Rensselaer County--Troy City PUMA,2539.0,1029.0,1510.0,2079.0,952.0,1127.0,460.0,77.0,383.0,2275.0,941.0,1334.0,1991.0,864.0,1127.0,284.0,77.0,207.0,165.0,88.0,77.0,88.0,88.0,0.0,77.0,0.0,77.0,99.0,0.0,99.0,0.0,0.0,0.0,99.0,0.0,99.0
56,Erie County (West Central)--Buffalo City (West) PUMA,3506.0,1943.0,1563.0,2890.0,1561.0,1329.0,616.0,382.0,234.0,625.0,341.0,284.0,461.0,177.0,284.0,164.0,164.0,0.0,1419.0,1010.0,409.0,1164.0,792.0,372.0,255.0,218.0,37.0,1462.0,592.0,870.0,1265.0,592.0,673.0,197.0,0.0,197.0
57,Erie County (South) PUMA,903.0,505.0,398.0,903.0,505.0,398.0,0.0,0.0,0.0,134.0,134.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,769.0,371.0,398.0,769.0,371.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,3139.0,1684.0,1455.0,3091.0,1684.0,1407.0,48.0,0.0,48.0,333.0,333.0,0.0,333.0,333.0,0.0,0.0,0.0,0.0,2304.0,1190.0,1114.0,2256.0,1190.0,1066.0,48.0,0.0,48.0,502.0,161.0,341.0,502.0,161.0,341.0,0.0,0.0,0.0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",30100.0,16785.0,13315.0,25924.0,15235.0,10689.0,4176.0,1550.0,2626.0,9515.0,4322.0,5193.0,8324.0,3749.0,4575.0,1191.0,573.0,618.0,17373.0,9905.0,7468.0,14564.0,8928.0,5636.0,2809.0,977.0,1832.0,3212.0,2558.0,654.0,3036.0,2558.0,478.0,176.0,0.0,176.0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,10215.0,3986.0,6229.0,7874.0,2846.0,5028.0,2341.0,1140.0,1201.0,5263.0,1825.0,3438.0,4398.0,1637.0,2761.0,865.0,188.0,677.0,3452.0,1472.0,1980.0,2559.0,1022.0,1537.0,893.0,450.0,443.0,1500.0,689.0,811.0,917.0,187.0,730.0,583.0,502.0,81.0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,14704.0,6879.0,7825.0,11996.0,6011.0,5985.0,2708.0,868.0,1840.0,4321.0,1913.0,2408.0,3763.0,1913.0,1850.0,558.0,0.0,558.0,6507.0,3069.0,3438.0,5552.0,2652.0,2900.0,955.0,417.0,538.0,3876.0,1897.0,1979.0,2681.0,1446.0,1235.0,1195.0,451.0,744.0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,4823.0,3213.0,1610.0,3494.0,2434.0,1060.0,1329.0,779.0,550.0,1390.0,1173.0,217.0,1329.0,1112.0,217.0,61.0,61.0,0.0,2345.0,1422.0,923.0,1530.0,849.0,681.0,815.0,573.0,242.0,1088.0,618.0,470.0,635.0,473.0,162.0,453.0,145.0,308.0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,5656.0,3111.0,2545.0,4280.0,2297.0,1983.0,1376.0,814.0,562.0,1674.0,799.0,875.0,1578.0,703.0,875.0,96.0,96.0,0.0,3237.0,1910.0,1327.0,2463.0,1355.0,1108.0,774.0,555.0,219.0,745.0,402.0,343.0,239.0,239.0,0.0,506.0,163.0,343.0
64,Albany County (East Central)--Albany City PUMA,4907.0,1992.0,2915.0,2706.0,581.0,2125.0,2201.0,1411.0,790.0,1923.0,605.0,1318.0,917.0,249.0,668.0,1006.0,356.0,650.0,2573.0,1140.0,1433.0,1592.0,239.0,1353.0,981.0,901.0,80.0,411.0,247.0,164.0,197.0,93.0,104.0,214.0,154.0,60.0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,1106.0,290.0,816.0,541.0,66.0,475.0,565.0,224.0,341.0,197.0,66.0,131.0,197.0,66.0,131.0,0.0,0.0,0.0,568.0,224.0,344.0,344.0,0.0,344.0,224.0,224.0,0.0,341.0,0.0,341.0,0.0,0.0,0.0,341.0,0.0,341.0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,727.0,177.0,550.0,727.0,177.0,550.0,0.0,0.0,0.0,261.0,177.0,84.0,261.0,177.0,84.0,0.0,0.0,0.0,67.0,0.0,67.0,67.0,0.0,67.0,0.0,0.0,0.0,399.0,0.0,399.0,399.0,0.0,399.0,0.0,0.0,0.0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",16055.0,8781.0,7274.0,11026.0,6885.0,4141.0,5029.0,1896.0,3133.0,3227.0,1954.0,1273.0,2980.0,1768.0,1212.0,247.0,186.0,61.0,8795.0,4693.0,4102.0,5533.0,3447.0,2086.0,3262.0,1246.0,2016.0,4033.0,2134.0,1899.0,2513.0,1670.0,843.0,1520.0,464.0,1056.0
