,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
71,NYC-Manhattan Community District 11--East Harlem PUMA,8890,4447,4443,6149,2761,3388,2741,1686,1055,3519,1160,2359,3048,1078,1970,471,82,389,3590,2015,1575,1774,492,1282,1816,1523,293,1781,1272,509,1327,1191,136,454,81,373
72,Orange County (Southeast) PUMA,5139,2319,2820,4101,1898,2203,1038,421,617,2388,874,1514,2041,874,1167,347,0,347,2450,1269,1181,1852,874,978,598,395,203,301,176,125,208,150,58,93,26,67
73,Westchester County (Southeast) PUMA,16322,9181,7141,14027,7805,6222,2295,1376,919,7017,3265,3752,6031,2702,3329,986,563,423,5053,2628,2425,4473,2339,2134,580,289,291,4252,3288,964,3523,2764,759,729,524,205
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,37117,19252,17865,28758,15498,13260,8359,3754,4605,16017,8108,7909,13197,7058,6139,2820,1050,1770,15810,7547,8263,11737,5580,6157,4073,1967,2106,5290,3597,1693,3824,2860,964,1466,737,729
75,Livingston & Wyoming Counties PUMA,1018,807,211,775,564,211,243,243,0,428,376,52,428,376,52,0,0,0,180,31,149,180,31,149,0,0,0,410,400,10,167,157,10,243,243,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,5705,3073,2632,4927,2854,2073,778,219,559,1884,747,1137,1722,672,1050,162,75,87,2933,1785,1148,2385,1641,744,548,144,404,888,541,347,820,541,279,68,0,68
77,Westchester County (Southwest)--Yonkers City PUMA,29605,15245,14360,20866,10939,9927,8739,4306,4433,6518,2406,4112,5895,2232,3663,623,174,449,17908,9954,7954,11028,6160,4868,6880,3794,3086,5179,2885,2294,3943,2547,1396,1236,338,898
78,Erie County (North Central) PUMA,6331,3335,2996,4282,1825,2457,2049,1510,539,5633,3069,2564,3643,1618,2025,1990,1451,539,596,164,432,537,105,432,59,59,0,102,102,0,102,102,0,0,0,0
79,Saratoga County (South & Central) PUMA,2801,1682,1119,2743,1682,1061,58,0,58,2359,1496,863,2359,1496,863,0,0,0,384,186,198,384,186,198,0,0,0,58,0,58,0,0,0,58,0,58
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,8460,4221,4239,7567,3940,3627,893,281,612,2019,556,1463,2019,556,1463,0,0,0,4079,2214,1865,3736,2214,1522,343,0,343,2362,1451,911,1812,1170,642,550,281,269
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",12656,6689,5967,10997,5979,5018,1659,710,949,6124,2855,3269,5125,2460,2665,999,395,604,5984,3687,2297,5494,3372,2122,490,315,175,548,147,401,378,147,231,170,0,170
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,972,433,539,783,270,513,189,163,26,563,270,293,537,270,267,26,0,26,302,56,246,246,0,246,56,56,0,107,107,0,0,0,0,107,107,0
83,Niagara County (North & East) PUMA,629,408,221,461,240,221,168,168,0,137,0,137,137,0,137,0,0,0,492,408,84,324,240,84,168,168,0,0,0,0,0,0,0,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,3149,1849,1300,2293,1626,667,856,223,633,626,499,127,533,435,98,93,64,29,2032,1304,728,1630,1145,485,402,159,243,491,46,445,130,46,84,361,0,361
85,Warren & Washington Counties PUMA,1582,511,1071,1078,511,567,504,0,504,1150,511,639,678,511,167,472,0,472,400,0,400,368,0,368,32,0,32,32,0,32,32,0,32,0,0,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,9190,4278,4912,7140,3022,4118,2050,1256,794,3887,1768,2119,3327,1349,1978,560,419,141,4561,2111,2450,3381,1584,1797,1180,527,653,742,399,343,432,89,343,310,310,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,6994,3153,3841,5423,2495,2928,1571,658,913,3543,1556,1987,2978,1556,1422,565,0,565,2938,1355,1583,2081,846,1235,857,509,348,513,242,271,364,93,271,149,149,0
88,Onondaga County (Central)--Syracuse City PUMA,6489,3553,2936,2970,2087,883,3519,1466,2053,2015,1172,843,1143,759,384,872,413,459,2885,1747,1138,1723,1262,461,1162,485,677,1589,634,955,104,66,38,1485,568,917
