,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
10,Suffolk County (Southwest)--Islip Town (South) PUMA,-0.0050957950069591175,0.6857030140559375,0.5484267708366031,0.5485814799206816,#DIV/0!,0.2870429488440484,-0.3247409613592781,#DIV/0!,0.5059507458408543,-0.15063405025989812,0.16813262373426394,0.16957078847808768,0.9066204874533014,0.39123430597489767,0.28309697017428936,0.3248531244851138,C,B-,B-,B-,#DIV!0,B-,C-,#DIV!0,B-,C,C,C,B-,B,B-,B-
11,Erie County (Northwest) PUMA,-1.0049914254279946,-2.297586192649363,0.5484267708366031,0.5485814799206816,#DIV/0!,0.7957449093846072,-0.2092560020727909,#DIV/0!,-1.006299221329433,0.4161497535921487,-0.8578391525214705,-0.8563556592970514,-1.6512741929805106,-0.39448806549422033,-0.9848249698541329,-0.7621330725549529,D,E,B-,B-,#DIV!0,B,C,#DIV!0,D,B-,D,D,D,D-,C-,D
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.263521594803667,0.3670355602754575,0.2579701483147425,0.2581240000067399,0.16959278021852442,-1.8470185767291198,0.2653112214193338,-0.03792332452723639,0.37567742196393905,0.07645197890933578,-0.039666841061254905,-0.03821949552491259,-0.036509387278838186,0.6770569100070917,0.20323883737631243,0.17400420348452478,B-,B-,B-,B-,C,E,B-,C,B-,C,C,C,C,C,B-,C
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.06690368578542386,-0.5536760000129362,-0.22307140023466135,-0.2229189685179115,-0.07819833095821438,0.747559022565289,-0.052747496869696923,-0.04516421260610104,0.1688746556327603,0.18573547300270973,0.553629280791291,0.5550504138992127,0.12034115462185671,1.049359688547541,0.06521355037786235,0.3854577452676048,C,C-,C,C,C,B-,C,C,C,C,B-,B-,C,C,B,B-
14,Rockland County (North)--New City & Congers PUMA,-0.18937097248721385,0.1888232071596629,0.5484267708366031,0.5485814799206816,#DIV/0!,0.4288993594947904,1.4405298260421275,#DIV/0!,0.059875536234941885,0.2935848582166862,-0.8090168339203309,-0.8075354977157954,0.46153544752550635,-0.2587373356967762,-0.5531049962241887,-0.23048554593999385,C,C,B-,B-,#DIV!0,B-,A-,#DIV!0,C,B-,D,D,C-,B-,C-,C
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.40326889440511693,-0.13227043735153263,0.30333705403794536,0.30349103964744606,0.27824795275802056,-1.0386150672527565,0.7050951941781536,0.11750780434605616,0.5059507458408543,0.008980980566950708,1.245251733315574,1.2466423098373944,0.9066204874533014,-0.4809072670376738,-0.42767691880695524,0.42926601016706367,B-,C,B-,B-,B-,D,B-,C,B-,C,B,B,C-,B,C-,B-
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.40326889440511693,0.22762789803826539,-0.12653761130918867,-0.12638489463661487,0.27824795275802056,-0.20328685404807925,1.3441558106842917,0.2567273136988303,0.28535935302278875,-0.034263756574812426,0.4346718979869264,0.4360982867534762,0.19550569394836442,-0.12682845276285745,-0.31929096018918424,0.12446458031210025,B-,C,C,C,B-,C,A-,B-,B-,C,B-,B-,C-,C,C,C
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,-0.2900812872060816,0.11415234057237889,0.4536545559590423,0.45380898528724595,0.21191581983213018,-1.5477541499009653,0.7038289340044745,0.014217885506889278,-0.2674451163917187,0.2759595572605777,-0.010186871939704042,-0.008740828858496655,-0.13583558819977956,-1.3358093809457736,0.06218197382447824,-0.20283946503577382,C-,C,B-,B-,C,D-,B-,C,C-,B-,C,C,C,C,D-,C
18,Tompkins County PUMA,0.40326889440511693,-0.4880662265159845,0.08042086560873561,0.08057419319717597,0.27824795275802056,-0.16033775678061887,-0.6808669602226273,-0.06953700536431165,-1.1409803357570925,0.7827075697883774,0.3046424296698288,0.30607456327104937,0.9066204874533014,0.7114308178218822,-0.4506053883468505,0.2028414491286423,B-,C-,C,C,B-,C,C-,C,D,B,B-,B-,C-,B,B-,C
19,Dutchess County (Southwest) PUMA,0.40326889440511693,-0.5740029382721317,0.20906051397614633,0.20921422129294295,0.27824795275802056,-0.2989225738539046,-0.8566882124174373,-0.08997459173017812,-0.38581399238866654,0.2574075563115203,0.8559942287742702,0.8574020030900743,0.8022900468347914,0.23266356181348538,-0.23438218358445506,0.3407944601215743,B-,C-,C,C,B-,C-,D,C,C-,B-,B,B,C,B,C,B-
